iTunes Ready
Below is export from iTunes. ALL song filled with info 

Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Make You Feel My Love	Adele		Make You Feel My Love - Single		Pop	4425597	212			1		2008	29/04/2011 21:12	27/04/2011 19:50	160	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Adele\Make You Feel My Love - Single\Make You Feel My Love.mp3
We Don't Care	Akon		Freedom		R&B	11081424	256			5		2008	06/04/2011 22:34	27/04/2011 19:50	256	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Akon\Freedom\We Don't Care.mp3
Like U Like	Aggro Santos & Kimberley Walsh		Like U Like - EP		Hip-Hop/Rap	8342494	206			1		2011	25/03/2011 14:09	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Aggro Santos & Kimberley Walsh\Like U Like - EP\Like U Like.mp3
Turn My Swag On	Alexa Goddard		Turn My Swag On (Remix) - Single		Pop	8569324	213			1		2010	19/04/2011 14:31	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Alexa Goddard\Turn My Swag On (Remix) - Single\Turn My Swag On.mp3
Good Girl	Alexis Jordan		Goof Girl - EP		Pop	9489276	236			1		2011	19/04/2011 14:34	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Alexis Jordan\Good Girl - EP\Good Girl.mp3
What the Hell	Avril Lavigne		What the Hell - Single		Pop	8814157	219			1		2011	25/03/2011 14:09	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Avril Lavigne\What the Hell - Single\What the Hell.mp3
Airplanes (feat. Hayley Williams of Paramore)	B.o.B		B.o.B Presents: The Adventures of Bobby Ray (Deluxe)		Pop	5720704	181					2010	25/03/2011 14:09	27/04/2011 19:50	192	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\B.o.B\B.o.B Presents The Adventures of Bobby\Airplanes (feat. Hayley Williams of Paramore).mp3
Nothin' On You	B.o.B		Nothin On You		Pop	10748551	267			1		2010	20/04/2011 19:22	27/04/2011 19:50	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\B.o.B\Nothin On You\Nothin' On You.mp3
The Time (Dirty Bit)	Black Eyed Peas		The Beginning (Deluxe Edition)		Pop	7396747	307			1	15	2010	29/04/2011 21:12	27/04/2011 19:50	192	44100		MPEG audio file			1	30/04/2011 12:12				C:\Users\Chris\Music\MUSIC (FINISHED)\Black Eyed Peas\The Beginning (Deluxe Edition)\The Time (Dirty Bit).mp3
Rock That Body	The Black Eyed Peas		The E.N.D.		Hip Hop/Rap	10798812	268			2	17	2009	29/04/2011 21:12	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Black Eyed Peas\The E.N.D\Rock That Body.mp3
Just Can't Get Enough	The Black Eyed Peas		Just Can't Get Enough - Single		Pop	8808855	219			1		2011	25/03/2011 14:09	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Black Eyed Peas\Just Can't Get Enough - Single\Just Can't Get Enough.mp3
Grenade	Bruno Mars		Grenade - Single		Pop	9623925	222			1		2010	25/03/2011 14:09	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Bruno Mars\Grenade - Single\Grenade.mp3
Just the Way You Are	Bruno Mars		Just the Way You Are - Single		Pop	9011743	220			1	1	2010	25/03/2011 14:09	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Bruno Mars\Just the Way You Are - Single\01 Just the Way You Are.mp3
Bright Lights  Bigger City (feat. Wiz Khalifa)	Cee Lo Green		Bright Lights Bigger City (feat. Wiz Khalifa) - Single		Alterative	8859637	218			1		2010	14/04/2011 11:55	27/04/2011 19:50	320	44100		MPEG audio file			2	28/04/2011 14:10				C:\Users\Chris\Music\MUSIC (FINISHED)\Cee Lo Green\Bright Lights Bigger City (feat. Wiz Khalifa) - Single\Bright Lights Bigger City.mp3
forget you	Cee Lo Green		Forget You - Single		R&B	6601839	222			1	2	2010	25/03/2011 14:09	27/04/2011 19:50	236	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Cee Lo Green\Forget You\Forget You.mp3
It's OK	Cee Lo Green		It's OK - EP		Pop	9091157	226			1		2011	19/04/2011 14:59	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Cee Lo Green\It's OK - EP\It's OK.mp3
Blind Faith	Chase & Status		Blind Faith (feat. Liam Bailey)		Pop	9391274	233			1		2011	29/04/2011 21:14	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Chase & Status\Blind Faith (feat. Liam Bailey)\Blind Faith.mp3
Yeah Yeah (feat. Travie McCoy)	Cheryl Cole		Messy Little Raindrops		Pop	8275474	194			2	12	2010	19/04/2011 15:03	27/04/2011 19:50	232	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Cheryl Cole\Messy Little Raindrops\Yeah Yeah (feat. Travie McCoy).mp3
Promise This	Cheryl Cole		Promise This - EP		Pop	8172069	204			1		2010	19/04/2011 15:03	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Cheryl Cole\Promise This - EP\01 Promise This.mp3
Parachute	Cheryl Cole	Marshal -=>3 Words		Pop	8815920	220			2		2009	25/03/2011 14:09	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Cheryl Cole\3 Words\Parachute.mp3
Champion (feat. Chris Brown)	Chipmunk		Champion (feat. Chris Brown) - Single		Hip-Hop/Rap	10509705	238			1		2011	19/04/2011 15:03	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Chipmunk\Champion (feat. Chris Brown) - Single\Champion (feat. Chris Brown).mp3
Oopsy Daisy	Chipmunk	Mark Orabiyi, Jahmaal Fyffe, Kyle James Abrahams & Peter Ighile Peters	Oopsy Daisy - Single		Hip-Hop/Rap	8771878	217			1		2009	29/04/2011 21:15	27/04/2011 19:50	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Chipmunk\Oopsy Daisy - Single\Oopsy Daisy.mp3
Beautiful People	Chris Brown		Beautiful People - Single		Pop	9097535	226			1		2011	20/04/2011 19:03	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Chris Brown\Beautiful People - Single\Beautiful People.mp3
Bomb (feat. Wiz Khalifa)	Chris Brown	Chris Brown	F.A.M.E. (Deluxe Version)		R&B/Soul	9552558	213			17		2011	07/04/2011 14:37	27/04/2011 19:50	198	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Chris Brown\F.A.M.E. (Deluxe Verion)\Bomb (feat. Wiz Khalifa).mp3
Yeah 3X	Chris Brown		Yeah 3X - Single		Pop	9682627	241			1		2011	19/04/2011 15:03	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Chris Brown\Yeah 3X - Single\Yeah 3X.mp3
Sexy Bitch (feat. Akon)	David Guetta	David Guetta, JEAN CLAUDE SINDRES & Sandy Vee	Sexy Bitch (feat. Akon) - Single		Pop	7883877	195			1		2009	21/04/2011 15:15	27/04/2011 19:50	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\David Guetta\Sexy Bitch (feat. Akon) - Single\01 Sexy Bitch (feat. Akon).mp3
Who's That Chick	David Guetta (feat Rihanna)		Whos's That Chick? (feat Rihanna) - Single		Pop	9363510	201			1		2010	29/04/2011 21:15	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\David Guetta\Whos's That Chick (feat Rihanna) - Single\Who's That Chick.mp3
Runaway	Devlin		Bud, Sweat & Beers		Pop	8407322	209			9		2010	29/04/2011 21:15	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Devlin\Bud, Sweat & Beers\Runaway.mp3
Coming Home	Diddy - Dirty Money	A. Grant	Coming Home (feat. Skylar Grey) - Single		Pop	9588924	239			1		2011	26/04/2011 17:57	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Diddy - Dirty Monkey\Coming Home (feat. Skylar Grey) - Single\Coming Home (feat. Skylar Grey) - Single.mp3
Dirtee Disco (Radio Edit)	Dizzee Rascal		Dirtee Disco - Single		Pop	8729144	217			1		2010	29/04/2011 21:15	27/04/2011 19:50	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Dizzee Rascal\Dirtee Disco - Single\Dirtee Disco (Radio Edit).mp3
I Need a Doctor (feat. Eminem & Skylar Grey) 	Dr. Dre Feat Eminem & Skylar Grey		I Need a Doctor (feat. Eminem & Skylar Grey) - Single		Hip-Hop/Rap	11384680	283			1	1	2011	25/03/2011 14:10	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Dr. Dre\I Need a Doctor (feat. Eminnem & Skylar Grey) - Single\I Need a Doctor (feat. Eminnem & Skylar Grey).mp3
Barbra Streisand	Duck Sauce		Barbra Streisand		Pop	5637358	140			1		2010	25/03/2011 14:10	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Duck sauce\Barbra Streisand\Barbra Streisand.mp3
Stereo Love	Edward Maya & Vika Jigulina		Stereo Love - EP		Dance	11906909	186			1		2010	29/04/2011 21:16	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Edward Maya & Vika Jigulina\Stereo Love - EP\Stereo Love.mp3
I Like It (Feat. Pitbull)	Enrique Iglesias		Euphoria		Pop	9325817	229			1	14	2010	25/03/2011 14:10	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Enrique Inglasis\Euphoria\I Like It (Feat. Pitbull).mp3
Tonight (I'm F****n' You) [feat. Ludacris & DJ Frank E]	Enrique Iglesias		Tonight (feat. Ludacris & DJ Frank E) - Single		Pop	9326661	232			1		2011	25/03/2011 14:10	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Enrique Inglasis\Tonight (I'm Fuckin' You) [feat. Ludacris & DJ Frank E]\Tonight (I'm Fuckin' You) [feat. Ludacris & DJ Frank E].mp3
Like A G6	Far East Movement		Like a G6 (feat. The Cataracs & Dev		Pop	8785830	218			1		2010	25/03/2011 14:10	27/04/2011 19:50	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Far East Movement Feat The Cataracs & Dev\Like a G6 (feat. The Cataracs & Dev\Like a G6 (feat. The Cataracs & Dev).mp3
Rocketeer	Far East Movement & Ryan Teddert		Rocketeer - Single		Pop	8878115	217			1		2011	25/03/2011 14:10	27/04/2011 19:50	320	48000		MPEG audio file			1	28/04/2011 14:23				C:\Users\Chris\Music\MUSIC (FINISHED)\Far East Movement Feat The Cataracs & Dev\Rocketeer - Single\Rocketeer.mp3
Low 	Flo Rida		Low (feat. T-Pain) - Single		Hip-Hop/Rap	6802249	229			1		2008	12/04/2011 10:56	27/04/2011 19:50	197	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Flo Rida\Low (feat. T-Pain) - Single\Low.mp3
Who Dat Girl (feat. Akon) [8 Barz Club mix]	Flo Rida		Who Dat Girl (feat. Akon) - EP		Hip-Hop/Rap	3225788	200			1	4	2011	12/04/2011 10:17	27/04/2011 19:50	128	44100		MPEG audio file			2	28/04/2011 16:33				C:\Users\Chris\Music\MUSIC (FINISHED)\Flo Rida\Who Dat Girl (feat. Akon) - EP\Who Dat Girl (feat. Akon) [8 Barz Club mix].mp3
Singing In the Rain / Umbrella (feat. Gwyneth Paltrow) [Glee Cast Versin]	Glee Cast		Singing In the Rain / Umbrella (feat. Gwyneth Paltrow) [Glee Cast Versin] - Single		Pop	7385222	183			1		2011	25/03/2011 14:11	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Glee\Singing In the Rain  Umbrella (feat. Gwyneth Paltrow) [Glee Cast Versin] - Single\Singing In the Rain  Umbrella (feat. Gwyneth Paltrow) [Glee Cast Versin].mp3
Thriller / Heads With Roll (Glee Cast Version)	Glee Cast		Thriller / Heads With Roll (Glee Cast Version) - Single		Soundtrack	8720182	216			1		2011	29/04/2011 21:16	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Glee\Thriller  Heads With Roll (Glee Cast Version) - Single\Thriller  Heads With Roll (Glee Cast Version).mp3
Toxic	Glee Cast		Toxic (Glee Cast Version) - Single		Pop	8232121	204			5		2011	29/04/2011 21:16	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Glee\Toxic (Glee Cast Version) - Single\Toxic.mp3
I Like It (Feat. Pitbull)	Enrique Iglesias		Euphoria		Pop	9325817	229			1	14	2010	29/04/2011 21:16	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Enrique Inglasis\Euphoria\I Like It (Feat. Pitbull).mp3
Tonight (I'm F****n' You) [feat. Ludacris & DJ Frank E]	Enrique Iglesias		Tonight (feat. Ludacris & DJ Frank E) - Single		Pop	9326661	232			1		2011	29/04/2011 21:16	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Enrique Inglasis\Tonight (I'm Fuckin' You) [feat. Ludacris & DJ Frank E]\Tonight (I'm Fuckin' You) [feat. Ludacris & DJ Frank E].mp3
Like A G6	Far East Movement		Like a G6 (feat. The Cataracs & Dev		Pop	8785830	218			1		2010	29/04/2011 21:16	27/04/2011 19:50	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Far East Movement Feat The Cataracs & Dev\Like a G6 (feat. The Cataracs & Dev\Like a G6 (feat. The Cataracs & Dev).mp3
Rocketeer	Far East Movement & Ryan Teddert		Rocketeer - Single		Pop	8878115	217			1		2011	29/04/2011 21:16	27/04/2011 19:50	320	48000		MPEG audio file			1	28/04/2011 14:23				C:\Users\Chris\Music\MUSIC (FINISHED)\Far East Movement Feat The Cataracs & Dev\Rocketeer - Single\Rocketeer.mp3
Low 	Flo Rida		Low (feat. T-Pain) - Single		Hip-Hop/Rap	6802244	229			1		2008	29/04/2011 21:16	27/04/2011 19:50	197	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Flo Rida\Low (feat. T-Pain) - Single\Low.mp3
Who Dat Girl (feat. Akon) [8 Barz Club mix]	Flo Rida		Who Dat Girl (feat. Akon) - EP		Hip-Hop/Rap	3225782	200			1	4	2011	29/04/2011 21:16	27/04/2011 19:50	128	44100		MPEG audio file			2	28/04/2011 16:33				C:\Users\Chris\Music\MUSIC (FINISHED)\Flo Rida\Who Dat Girl (feat. Akon) - EP\Who Dat Girl (feat. Akon) [8 Barz Club mix].mp3
Falling In Love	Ironik		Falling in Live (feat. Jessica Lowndes)		Pop	8774097	219			1		2010	29/04/2011 21:17	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Ironik\Falling in Love (feat. Jessica Lowndes)\Falling In Love.mp3
Solo	Iyaz		Solo			7833094	193			1		2010	25/03/2011 14:11	27/04/2011 19:50	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Iyaz\Solo.mp3
Stay the Night	James Blunt	Bob Marley/James Blunt/Ryan Tedder/Steve Robson/Tedder	Some Kind Of Trouble		Pop	8564099	213			1		2010	20/04/2011 12:32	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\James Blunt\Some Kind Of Trouble\Stay the Night.mp3
White Knuckle Ride	Jamiroquai	Jay Kay	White Knuckle Ride - Single		Pop	8696791	217			1		2010	29/04/2011 21:17	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Jamiroquai\White Knuckle Ride\White Knuckle Ride.mp3
Whatcha Say	Jason Derulo		Jason Derulo		Pop	7670529	222			1		2010	04/04/2011 22:06	27/04/2011 19:50	262	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Jason Derulo\Jason Derulo\Whatcha Say.mp3
In My Head	Jason Derulo		Jason Derulo		Pop	6772004	198			3		2010	04/04/2011 22:06	27/04/2011 19:50	258	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Jason Derulo\Jason Derulo\In My Head.mp3
The Sky's The Limit	Jason Derulo		Jason Derulo		Pop	7580541	224			4		2010	04/04/2011 22:06	27/04/2011 19:50	257	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Jason Derulo\Jason Derulo\The Sky's The Limit.mp3
Fallen	Jason Derulo		Jason Derulo		Pop	6982176	196			8		2010	04/04/2011 22:06	27/04/2011 19:50	269	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Jason Derulo\Jason Derulo\Fallen.mp3
