All songs written and composed by Angus Young and Malcolm Young, except where noted. Disc 1
No.	Title	Length
1.	"Stiff Upper Lip"  	3:34
2.	"Meltdown"  	3:41
3.	"House of Jazz"  	3:56
4.	"Hold Me Back"  	3:59
5.	"Safe in New York City"  	3:59
6.	"Can't Stand Still"  	3:41
7.	"Can't Stop Rock 'n' Roll"  	4:02
8.	"Satellite Blues"  	3:47
9.	"Damned"  	3:52
10.	"Come and Get It"  	4:02
11.	"All Screwed Up"  	4:36
12.	"Give It Up"  	3:54
Disc 2
No.	Title	Length
1.	"Cyberspace" (Non LP Track)	2:59
2.	"Back in Black (Live â€“ Plaza De Toros, Madrid, 1996)" (Young, Young, Johnson)	3:41
3.	"Hard as a Rock (Live â€“ Plaza De Toros, Madrid, 1996)"  	4:51
4.	"Ballbreaker (Live â€“ Plaza De Toros, Madrid, 1996)"  	4:41
5.	"Whole Lotta Rosie (Live â€“ Plaza De Toros, Madrid, 1996)" (Young, Young, Bon Scott)	5:27
6.	"Let There Be Rock (Live â€“ Plaza De Toros, Madrid, 1996)" (Young, Young, Scott)	11:53
7.	"Stiff Upper Lip" (Music video)	3:50
8.	"Safe in New York City" (Music video)	4:01
9.	"Satellite Blues" (Music video)	3:55
