Filename,Size,Unit
"Motown Legends; Three Times a Lady/01 Commodores, The - Three Times a Lady.flac",17.9,M
"Motown Legends; Three Times a Lady/02 Commodores, The - Come Inside.flac",25.13,M
"Motown Legends; Three Times a Lady/03 Commodores, The - Wonderland.flac",30.54,M
"Motown Legends; Three Times a Lady/04 Commodores, The - This Is Your Life.flac",37.2,M
"Motown Legends; Three Times a Lady/05 Commodores, The - Machine Gun.flac",17.22,M
"Motown Legends; Three Times a Lady/06 Commodores, The - Brick House.flac",19.62,M
"Motown Legends; Three Times a Lady/07 Commodores, The - Sorry to Say.flac",25.62,M
"Motown Legends; Three Times a Lady/08 Commodores, The - Painted Picture.flac",26.32,M
"Motown Legends; Three Times a Lady/09 Commodores, The - Sail On.flac",21.75,M
"Motown Legends; Three Times a Lady/10 Commodores, The - Only You.flac",24.01,M
"Motown Legends; Three Times a Lady/11 Commodores, The - Thumpin' Music.flac",20.22,M
Motown Legends; Three Times a Lady/Folder.jpg,14.18,K
