User Type,Username,Date,Text
,Luckyleaf,2011-09-16T06:34Z,how is 1 update 5.5 GB? is this the whole game redone to 1.3?
,DragonSpice,2011-09-16T06:51Z,what the hell? 5 and half gigs? fake maybe?... idk but downloading and testing... will report back
,ETNWind,2011-09-16T07:02Z,is this v1.3?
,ETNWind,2011-09-16T07:04Z,fake. where is the xlive.dll come from...
,m4bana,2011-09-16T07:07Z,"Both me and my mate were not able to get this to work. The installer freezes on Installing:__DISC__ which is a 1kb file in ""Data."" Is there something I'm doing wrong with the patch? Also: This is update 1.30, yes? Thank you :)

To all the people thinking they have to download the .iso, you don't, just make sure to only download the update 4 folder :)"
,Insomneac,2011-09-16T07:18Z,How come this idiot hasn't been banned?
,DragonSpice,2011-09-16T07:34Z,yeah xlive.dll? most likely fake
,DragonSpice,2011-09-16T07:34Z,"the ""update installer"" looks so cheap too"
,The4X3R,2011-09-16T07:52Z,"1. download reloaded release
2. update to 1.1 for single player or use co-op update 2 to play online
3. play"
,Ultimatejim,2011-09-16T08:12Z,"Dead island doesn't use xlive or bink.

WTF is this shite."
,Ultimatejim,2011-09-16T08:19Z,"Dead island does not use Xlive or Bink

WTF is this shite"
,RMJ13,2011-09-16T08:26Z,"this is a STEAM GAME   xlive = XLIVE game 

JERK ALERT!"
,adrian20999,2011-09-16T09:52Z,WOW!! update 4; and 5.54 GiB its must be the biggest moron update like hes uploader .
,haxme2death,2011-09-16T10:21Z,"maybe this is most likely a bundle, game and update patch.  i am going to download it and will confirm.  thanks!  "
,auxios,2011-09-16T16:10Z,"New working steam APPID;

17700

taken from: game.ali213.net/thread-3691937-1-1.html

How to change APPID & Backup Save / Moving to New ID;

1. Go to Dead Island Install Dir

2. Right Click steam_appid.txt , Click Properties, untick read-only attribute, ok

3. Open steam_appid.txt , change the APPID, then save

4. Right Click steam_appid.txt , Click Properties, tick back read-only attribute, ok

YOU MUST DO THIS OR CHANGING APPID WOULDNT WORK.

Backup Save Game / Moving Save Game to New ID;

1. Right Click on Steam / SmartSteam shortcut, Click Properties

2. Click Open File Location

3. Now you are in Steam Directory, Browse to

Steam\userdata\[randomnumberhere]\APPID\

randomnumberhere is your steam ID (dont share / post them in internet)

APPID is your save game folder and everytime you change dead island appid, create new folder with the same number of new APPID, and copy the files located in older APPID to the new one.

for example if your old dead island APPID is 13140, then copy the files in that folder to new 17700 (make new folder for every new ID).

Have fun :)"
,Spanese,2011-09-16T16:17Z,This is fake.
,henrytlh,2011-09-16T17:01Z,"This is fake, I've downloaded the 15mb patch and it does nothing than giving me errors"
,henrytlh,2011-09-16T17:02Z,fake
,henrytlh,2011-09-16T17:02Z,Fake
,WhiteDrone,2011-09-16T18:08Z,rate down like no tomorrow
,Agga66,2011-09-16T18:58Z,FUCK off And DIE DICK SPLASH
,ShinSonJazrin,2011-09-17T00:12Z,"@auxios

It worked perfectly, cheers mate!!"
,xeusoi16,2011-09-17T00:16Z,please seed all you can! staggering speeds at 80%
,TechnoBanana,2011-09-17T02:23Z,"It might not be fake, because if you open up the torrent and you can see that there is RLD=DEIS.iso NAD UPDATE4 ;) gonna test it."
