Filename,Size,Unit
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 07 - You've Got Your Troubles.flac",27.28,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 09 - Midnight Cowboy.flac",25.85,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 01 - Kissin' in the Back Row of the Movies.flac",24.57,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 05 - Summer in the City.flac",23.89,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 08 - The Cut Is Deep.flac",23.22,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 10 - Love Games.flac",21.31,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 02 - You're More Than a Number in My Little Red Book.flac",21.02,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 06 - Sweet Caroline (Good Times Never Seemed So Good).flac",20.97,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 03 - There Goes My First Love.flac",19.74,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Drifters, The - 04 - Hello Happiness.flac",17.67,M
"Gold CD1/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 1/Folder.jpg",21.13,K
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 05 - Every Night's a Saturday Night with You.flac",22.83,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 02 - Can I Take You Home Little GirlÂ¿.flac",22.79,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 03 - Like Sister and Brother.flac",22.75,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 10 - The Juggler.flac",22.6,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 07 - Like a Movie I've Seen Before.flac",22.32,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 04 - Down on the Beach Tonight.flac",21.22,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 06 - Harlem Child.flac",21.07,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 09 - The Songs We Used to Sing.flac",19.73,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 01 - Save the Last Dance for Me.flac",19.63,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Drifters, The - 08 - (There's) Always Something There to Remind Me.flac",15.07,M
"Gold CD2/The Drifters/Mastercuts Gold; The Best of the Drifters, Disc 2/Folder.jpg",21.13,K
