Artist:   Angus And Julia Stone
Title:    Memories Of An Old Friend
Year:     2011
Genre:    Indie
Bitrate:  168 Kbps Avg
Tracks:   13
Size:     65,6 MB
Time:     54:27 Min

Tracklist:

01. Private Lawns                                03:05
02. Babylon                                      05:01
03. Paper Aeroplane                              03:41
04. Take You Away                                03:49
05. My Malakai                                   03:06
06. Lonely Hands                                 03:47
07. Little Bird                                  04:28
08. Chocolates And Cigarettes                    03:56
09. Old Friend                                   04:07
10. Choking                                      05:47
11. Mango Tree                                   03:45
12. Heart Full Of Wine                           04:28
13. All Of Me                                    05:27
