TÃTULO ORIGINAL 	Black Death
AÃ‘O             2010
DURACIÃ“N 	102 min.
PAÃS 	        [Reino Unido]
DIRECTOR 	Christopher Smith
GUIÃ“N 	        Dario Poloni
MÃšSICA 	        Christian Henson
FOTOGRAFÃA 	Sebastian Edschmid
REPARTO 	Sean Bean, Kimberley Nixon, Eddie Redmayne, Carice van Houten, David Warner, Andy Nyman, Tim McInnerny, John Lynch, Johnny Harris, Tygo Gernandt, David Masterson, Marianne Graffam

PRODUCTORA 	CoproducciÃ³n Reino Unido-Alemania; Egoli Tossell Film
PREMIOS 	2010: Festival de Sitges: SecciÃ³n oficial largometrajes a concurso
GÃ‰NERO 	        Drama. Aventuras. Terror | Edad Media. Siglo XIV

SINOPSIS 	\\\\\\\"Black Death\\\\\\\" nos lleva hasta la Inglaterra medieval que se encuentra bajo la sombra de la peste negra. En este mundo apocalÃ­ptico, lleno de temor y supersticiÃ³n, un joven monje llamado Osmund es el encargado de dirigir a un caballero terrible, Ulric y su grupo de mercenarios a un pueblo situado al lado de un pantano, del que se han escuchado rumores terribles sobre muertos que vuelven a la vida... (FILMAFFINITY)
