Filename,Size,Unit
00 - Lena Granhagen - 1972 - Sjunger Theodorakis - bak.JPG,910.28,K
00 - Lena Granhagen - 1972 - Sjunger Theodorakis - fram.jpg,3.13,M
01. Lena Granhagen - Denna Jord Ãr VÃ¥r (3;24).mp3,4.68,M
02. Lena Granhagen - Hav O Hav (4;36).mp3,6.32,M
03. Lena Granhagen - En Morgon I Augusti (2;30).mp3,3.45,M
04. Lena Granhagen - Du DÃ¶d (2;34).mp3,3.55,M
05. Lena Granhagen - SmÃ¤rta (3;41).mp3,5.06,M
06. Lena Granhagen - Jag Ãr Fronten (2;57).mp3,4.06,M
07. Lena Granhagen - Den Sista Kakan BrÃ¶d (3;25).mp3,4.7,M
08. Lena Granhagen - Stor Uppmuntran (3;56).mp3,5.41,M
09. Lena Granhagen - Soldat Soldat (1;26).mp3,1.98,M
10. Lena Granhagen - Det Tyska MÃ¶rkret (1;43).mp3,2.36,M
11. Lena Granhagen - DÃ¶dens DÃ¶d (3;01).mp3,4.17,M
12. Lena Granhagen - Visa Till Karin (2;31).mp3,3.46,M
13. Lena Granhagen - Oma Meume (4;25).mp3,6.07,M
14. Lena Granhagen - Uppmuntran (2;59).mp3,4.11,M
