User Type,Username,Date,Text
,a_hydra,2012-02-16T08:50Z,"Getting same error as tayyabaziz5:

 Problem Event Name:	APPCRASH
  Application Name:	BatmanAC.exe
  Application Version:	1.0.0.0
  Application Timestamp:	00000000
  Fault Module Name:	ntdll.dll
  Fault Module Version:	6.1.7600.16385
  Fault Module Timestamp:	4a5bdb3b
  Exception Code:	c0000005
  Exception Offset:	000397c2
  OS Version:	6.1.7600.2.0.0.256.1
  Locale ID:	1033
  Additional Information 1:	e8ad
  Additional Information 2:	e8adce1c2b9e7be834b4063ac3c53863
  Additional Information 3:	e8ad
  Additional Information 4:	e8adce1c2b9e7be834b4063ac3c53863

reinstalling directx/drivers/physx etc is not helping. Any solutions?"
_error.png


Is it the update and crack that I have that is bad? Should I attempt to delete some files or is there a DLL that I'm missing?
Thanks for the help."
