Release Name : Ghostface_Killah-The_Fisherman-Bootleg-2011-FTD
Artist : Ghostface Killah
Album : The Fisherman Bootleg
Year : 2011
Genre : Hip-Hop
Tracks : 12
Size : 42.73 MB

Tracks Info : Title	Artist	Playtime	Bitrate
Intro	Ghostface Killah	0:50	134 kbps
Song Cry	Ghostface Killah	2:11	158 kbps
Hot Shit	Ghostface Killah	2:57	136 kbps
Thinking	Ghostface Killah	2:52	136 kbps
Wu-Tang Bang Feat Method Man	Ghostface Killah	7:16	156 kbps
Hard Not To Show It	Ghostface Killah	3:37	159 kbps
Six Foot Feat Method Man	Ghostface Killah	2:43	146 kbps
Crew Deep Down	Ghostface Killah	2:15	160 kbps
The Old Wu Shit	Ghostface Killah	4:26	149 kbps
Park Hill	Ghostface Killah	2:10	154 kbps
Roll Call Feat Wu Tang Clan	Ghostface Killah	3:52	129 kbps
Say That Shit	Ghostface Killah	5:45	132 kbps
