Filename,Size,Unit
100 Danske Hits-2.jpg,35.38,K
100 Danske Hits-cd 1/01. Isam B - I Danmark Er Jeg FÃ¸dt (3;46).mp3,5.19,M
100 Danske Hits-cd 1/02. C.V. JÃ¸rgensen - Entertaineren (3;56).mp3,5.57,M
100 Danske Hits-cd 1/03. Thomas Helmig - Op Og Ned (4;20).mp3,5.91,M
100 Danske Hits-cd 1/04. Love Shop - Love Goes On Forever (3;12).mp3,4.79,M
100 Danske Hits-cd 1/05. Ray Dee Ohh - Elskes Af Dig (5;09).mp3,7.77,M
100 Danske Hits-cd 1/06. Julie - Moments Bliss (4;03).mp3,6.09,M
100 Danske Hits-cd 1/07. Gnags - Slingrer Ned Ad Vestergade (4;12).mp3,5.98,M
100 Danske Hits-cd 1/08. Souvenirs - Jeg Troed' Du Var Hos Mikael (3;51).mp3,6.21,M
100 Danske Hits-cd 1/09. Lis SÃ¸rensen - 100 Gange Til (4;25).mp3,6.44,M
100 Danske Hits-cd 1/10. Gangway - Come Back As A Dog (3;46).mp3,5.13,M
100 Danske Hits-cd 1/11. Moonjam - Baby Du Har Det (4;00).mp3,5.34,M
100 Danske Hits-cd 1/12. Backseatboys - Bitter Moon (3;32).mp3,5.59,M
100 Danske Hits-cd 1/13. Caroline Henderson - Made In Europe (4;21).mp3,5.01,M
100 Danske Hits-cd 1/14. Maria Montell - Kys Mig Op Til Himlen (3;57).mp3,6.16,M
100 Danske Hits-cd 1/15. Peter Sommer - 8-6-6-0 (3;58).mp3,5.18,M
100 Danske Hits-cd 1/16. Sebastian - Du Er Ikke Alene (5;16).mp3,7.36,M
100 Danske Hits-cd-2/01. Lis SÃ¸rensen - Mine Ãjne De Skal Se (4;10).mp3,6.62,M
100 Danske Hits-cd-2/02. Gasolin' - Det Bedste Til Mig Og Mine Venner (4;25).mp3,6.76,M
100 Danske Hits-cd-2/03. Poul Krebs - SÃ¥dan Nogen Som Os (4;05).mp3,5.28,M
100 Danske Hits-cd-2/04. Alberte - TÃ¦nder PÃ¥ Et Kys (3;53).mp3,6.04,M
100 Danske Hits-cd-2/05. Malurt - Den Eneste I Verden (4;56).mp3,6.7,M
100 Danske Hits-cd-2/06. Rugsted Og Kreutzfeldt - Godda' Igen (3;45).mp3,5.13,M
100 Danske Hits-cd-2/07. Gangway - My Girl & Me (3;42).mp3,5.76,M
100 Danske Hits-cd-2/08. The Loft - Flaming Lips (3;22).mp3,4.84,M
100 Danske Hits-cd-2/09. Laura Illeborg - Lidt In Love (3;54).mp3,5.58,M
100 Danske Hits-cd-2/10. Martin - Show The World (3;02).mp3,4.17,M
