Game of Thrones (Soundtrack) FLAC
By Ramin Djawadi


No. 	Title 	Length
1. 	"Main Title"   	1:46
2. 	"North of the Wall"   	3:48
3. 	"Goodbye Brother"   	3:07
4. 	"The Kingsroad"   	2:06
5. 	"The King's Arrival"   	3:34
6. 	"Love in the Eyes"   	4:00
7. 	"A Raven from King's Landing"   	1:16
8. 	"The Wall"   	2:00
9. 	"Things I do for Love"   	1:52
10. 	"A Golden Crown"   	1:38
11. 	"Winter Is Coming"   	2:41
12. 	"A Bird Without Feathers"   	2:01
13. 	"Await the King's Justice"   	2:00
14. 	"You'll Be Queen One Day"   	1:35
15. 	"The Assassin's Dagger"   	1:19
16. 	"To Vaes Dothrak"   	1:28
17. 	"Jon's Honor"   	2:35
18. 	"Black of Hair"   	1:40
19. 	"You Win Or You Die"   	1:57
20. 	"Small Pack of Wolves"   	1:57
21. 	"Game of Thrones"   	1:18
22. 	"Kill Them All"   	2:35
23. 	"The Pointy End"   	3:17
24. 	"Victory Does Not Make Us Conquerors"   	1:36
25. 	"When the Sun Rises in The West"   	2:40
26. 	"King of the North"   	1:28
27. 	"The Night's Watch"   	1:44
28. 	"Fire and Blood"   	4:30
29. 	"Finale"   	2:31

With Digital Booklet
