Side one
No. 	Title 	Writer(s) 	Vocals 	Length
1. 	"Grease"   	Barry Gibb 	Frankie Valli 	3:24
2. 	"Summer Nights"   	Jim Jacobs and Warren Casey 	John Travolta and Olivia Newton-John 	3:35
3. 	"Hopelessly Devoted to You"   	John Farrar 	Olivia Newton-John 	3:04
4. 	"You're the One That I Want"   	John Farrar 	John Travolta and Olivia Newton-John 	2:48
5. 	"Sandy"   	Louis St. Louis and Scott Simon 	John Travolta 	2:31
[edit] Side two
No. 	Title 	Writer(s) 	Vocals 	Length
6. 	"Beauty School Dropout"   	Jim Jacobs and Warren Casey 	Frankie Avalon 	3:59
7. 	"Look at Me, I'm Sandra Dee"   	Jim Jacobs and Warren Casey 	Stockard Channing, Didi Conn, Dinah Manoff and Jamie Donnelly 	1:40
8. 	"Greased Lightnin'"   	Jim Jacobs and Warren Casey 	John Travolta 	3:13
9. 	"It's Raining on Prom Night"   	Jim Jacobs and Warren Casey 	Cindy Bullens 	2:51
10. 	"Alone at the Drive-in Movie" (instrumental) 	Jim Jacobs and Warren Casey 	-- 	2:24
11. 	"Blue Moon"   	Richard Rodgers and Lorenz Hart 	Sha-Na-Na 	2:18
[edit] Side three
No. 	Title 	Writer(s) 	Vocals 	Length
12. 	"Rock n' Roll Is Here to Stay"   	D. White 	Sha-Na-Na 	2:03
13. 	"Those Magic Changes"   	Jim Jacobs and Warren Casey 	Sha-Na-Na 	2:18
14. 	"Hound Dog"   	Jerry Leiber and Mike Stoller 	Sha-Na-Na 	1:24
15. 	"Born to Hand Jive"   	Jim Jacobs and Warren Casey 	Sha-Na-Na 	4:37
16. 	"Tears on My Pillow"   	Sylvester Bradford and Al Lewis 	Sha-Na-Na 	2:02
17. 	"Mooning"   	Jim Jacobs and Warren Casey 	Louis St. Louis and Cindy Bullens 	4:37
[edit] Side four
No. 	Title 	Writer(s) 	Vocals 	Length
18. 	"Freddy, My Love"   	Jim Jacobs and Warren Casey 	Cindy Bullens 	4:37
19. 	"Rock n' Roll Party Queen"   	Jim Jacobs and Warren Casey 	Louis St. Louis 	2:11
20. 	"There Are Worse Things I Could Do"   	Jim Jacobs and Warren Casey 	Stockard Channing 	2:22
21. 	"Look at Me, I'm Sandra Dee" (reprise) 	Jim Jacobs and Warren Casey 	Olivia Newton-John 	1:28
22. 	"We Go Together"   	Jim Jacobs and Warren Casey 	John Travolta and Oliva Newton-John 	3:00
23. 	"Love Is a Many Splendored Thing" (instrumental) 	Sammy Fain and Paul Francis Webster 	â€” 	1:23
24. 	"Grease" (reprise) 	Barry Gibb 	Frankie Valli 	4:37
