User Type,Username,Date,Text
,dxb18,2011-02-09T21:20Z,"http://img64.imageshack.us/img64/9542/snapshotdvd000020110210.jpg
http://img24.imageshack.us/img24/9542/snapshotdvd000020110210.jpg
http://img824.imageshack.us/img824/9542/snapshotdvd000020110210.jpg"
,dxb18,2011-02-09T21:26Z,"Movie Name :	        No One Killed Jessica
Year of Release :	2011
Release Date :	        7 January 2011
Genre :	                Crime | Drama | Thriller
Producer :	        UTV Spotboy
Director :	        Raj Kumar Gupta
Cast :	                Rani Mukherjee, Vidya Balan, Myra Karn, Mohammed Zeeshan Ayyub
Music Director :	Amit Trivedi
Lyricist :	        Amitabh Bhattacharya
Language:	        Hindi
Size :	                7.24 GiB
Run Time :	        2 hr 16 mn"
