User Type,Username,Date,Text
,troonkoo,2012-01-23T06:36Z,stoopid crappy virus supplier
 there are no instructions in either NFO. Game crashes on launch.


Description:
  Stopped working

Problem signature:
  Problem Event Name:	APPCRASH
  Application Name:	Bastion.exe
  Application Version:	1.0.0.0
  Application Timestamp:	4eef0f35
  Fault Module Name:	KERNELBASE.dll
  Fault Module Version:	6.1.7601.17651
  Fault Module Timestamp:	4e211319
  Exception Code:	e0434f4d
  Exception Offset:	0000b9bc
  OS Version:	6.1.7601.2.1.0.256.1
  Locale ID:	1033"
